,tar,trr,far,frr
0.0,0.002242152466367713,0.9550463512236321,0.0,0.0427114963100002
0.01,0.004554686400289569,0.9550362967282672,1.0054495364877636e-05,0.040398962376078346
0.02,0.009732751513201552,0.9540107382010496,0.0010356130225823966,0.035220897263166365
0.03,0.014930925616843291,0.9474350982324197,0.007611252991212371,0.030022723159524624
0.04,0.01918397715618653,0.9332482052725773,0.021798145951054716,0.025769671620181383
0.05,0.022713105029258582,0.9113897323493334,0.0436566188742987,0.022240543747109334
0.06,0.025498200245329686,0.8824528946892155,0.07259345653441654,0.019455448531038227
0.07,0.02777051619779203,0.8475537412777253,0.10749260994590681,0.017183132578575882
0.08,0.029640652335659275,0.808220555410324,0.14682579581330812,0.01531299644070864
0.09,0.03126948058476945,0.7669770154235959,0.1880693358000362,0.013684168191598463
0.1,0.03270727342194695,0.7247380803957449,0.23030827082788716,0.012246375354420962
0.11,0.03387359488427276,0.682328218946691,0.272718132276941,0.011080053892095156
0.12,0.034949425888314664,0.6406422811639084,0.3144040700597237,0.010004222888053249
0.13,0.035884493957248284,0.6000623378712623,0.35498401335236984,0.00906915481911963
0.14,0.0365983631281546,0.5616642200727946,0.39338213115083753,0.008355285648213317
0.15,0.03723179633614189,0.5251563474029238,0.42989000382070824,0.007721852440226025
0.16,0.03778479358121016,0.49074986426431255,0.4642964869593195,0.007168855195157755
0.17,0.03829757284481892,0.4588570049669207,0.49618934625671135,0.006656075931548996
0.18,0.038810352108427676,0.42858291942327414,0.5264634318003579,0.0061432966679402365
0.19,0.039192422932293025,0.4002694604757787,0.5547768907478534,0.0057612258440748855
0.2,0.039494057793239355,0.3751131130728549,0.5799332381507772,0.005459590983128557
0.21,0.039795692654185685,0.3511230871322568,0.6039232640913752,0.005157956122182228
0.22,0.04007721852440226,0.32862112650566067,0.6264252247179714,0.004876430251965654
0.23,0.04036879888998371,0.3087333346739327,0.6463130165496994,0.004584849886384202
0.24,0.040559834301916384,0.2888153793561101,0.666230971867522,0.004393814474451527
0.25,0.04076092420921394,0.27014418146353236,0.6849021697600998,0.004192724567153975
0.26,0.04096201411651149,0.2532224657644433,0.7018238854591888,0.003991634659856422
0.27,0.041132940537714414,0.23694423776870638,0.7181021134549257,0.003820708238653502
0.28,0.041364193931106595,0.22229483802207967,0.7327515132015524,0.0035894548452613164
0.29,0.041515011361579764,0.20801745460395343,0.7470288966196786,0.0034386374147881518
0.3,0.04178648273643146,0.1954493353978564,0.7595970158257757,0.0031671660399364555
0.31,0.041937300166904626,0.18390677471897685,0.7711395765046553,0.003016348609463291
0.32,0.04208811759737779,0.17275633935932755,0.7822900118643046,0.0028655311789901267
0.33,0.04220877154175632,0.16263146252689578,0.7924148886967363,0.0027448772346115946
0.34,0.042269098513945585,0.15302941945343762,0.8020169317701945,0.002684550262422329
0.35000000000000003,0.04241991594441875,0.1440507550926019,0.8109955961310302,0.0025337328319491644
0.36,0.042450079430513384,0.13620824870799736,0.8188381025156347,0.0025035693458545314
0.37,0.04251040640270265,0.12820487039755474,0.8268414808260773,0.002443242373665266
0.38,0.042651169337810935,0.12176999336403306,0.8332763578595991,0.002302479438556979
0.39,0.042701441814635324,0.1151842989000382,0.8398620523235939,0.002252206961732591
0.4,0.04277182328218947,0.10926220113012527,0.8457841500935068,0.0021818254941784474
0.41000000000000003,0.042902531721932875,0.10348086629532063,0.8515654849283114,0.002051117054435038
0.42,0.04297291318948702,0.09804138430292184,0.8570049669207103,0.0019807355868808945
0.43,0.043033240161676284,0.0927527197409962,0.8622936314826359,0.0019204086146916287
0.44,0.043103621629230426,0.0877154175631925,0.8673309336604396,0.001850027147137485
0.45,0.04317400309678457,0.08327133061191659,0.8717750206117155,0.0017796456795833417
0.46,0.04321422107824408,0.07906855154939774,0.8759777996742344,0.001739427698123831
0.47000000000000003,0.043304711536527984,0.07553942367632568,0.8795069275473064,0.0016489372398399325
0.48,0.04334492951798749,0.07205051378471315,0.882995837438919,0.0016087192583804219
0.49,0.04343541997627139,0.06845100444408696,0.8865953467795451,0.0015182288000965233
0.5,0.04348569245309578,0.06553520078827244,0.8895111504353597,0.001467956323272135
0.51,0.04351585593919041,0.06271994208610669,0.8923264091375254,0.001437792837177502
0.52,0.043556073920649925,0.060055500814414124,0.894990850409218,0.0013975748557179914
0.53,0.04360634639747431,0.057280460093707894,0.8977658911299242,0.0013473023788936034
0.54,0.043636509883568944,0.054475255886907034,0.9005710953367251,0.0013171388927989704
0.55,0.0436566188742987,0.05201190452251202,0.9030344467011201,0.0012970299020692152
0.56,0.04370689135112309,0.04968931609322528,0.9053570351304068,0.001246757425244827
0.5700000000000001,0.04373705483721772,0.047376782159303424,0.9076695690643286,0.001216593939150194
0.58,0.0437471093325826,0.04534577409559814,0.909700577128034,0.0012065394437853164
0.59,0.04379738180940699,0.04322427557360896,0.9118220756500232,0.0011562669669609282
0.6,0.04384765428623137,0.04097206861187637,0.9140742826117557,0.00110599449013654
0.61,0.04386776327696113,0.03912204146473888,0.9159243097588932,0.0010858854994067848
0.62,0.043887872267690885,0.03740272275734481,0.9176436284662873,0.0010657765086770296
0.63,0.04390798125842064,0.035673349554585856,0.9193730016690462,0.0010456675179472742
0.64,0.043918035753785514,0.03422550222204348,0.9208208490015886,0.0010356130225823966
0.65,0.04395825373524503,0.03270727342194695,0.9223390778016851,0.000995395041122886
0.66,0.043988417221339664,0.0312895895754992,0.9237567616481329,0.0009652315550282532
0.67,0.043988417221339664,0.02992217820587585,0.9251241730177563,0.0009652315550282532
0.68,0.04400852621206942,0.028685475275995898,0.9263608759476362,0.0009451225642984979
0.6900000000000001,0.04402863520279917,0.027388445373926682,0.9276579058497054,0.0009250135735687426
0.7000000000000001,0.04404874419352893,0.026322668865249654,0.9287236823583824,0.0009049045828389874
0.71,0.04409901667035331,0.025176456393653603,0.9298698948299785,0.0008546321060145991
0.72,0.04411912566108307,0.024090570894246818,0.9309557803293853,0.0008345231152848438
0.73,0.04412918015644795,0.02314544832994832,0.9319009028936838,0.0008244686199199662
0.74,0.0441492891471777,0.02207967182127129,0.9329666794023608,0.0008043596291902109
0.75,0.04416939813790746,0.021335639164270344,0.9337107120593617,0.0007842506384604556
0.76,0.04420961611936697,0.020661987974823545,0.9343843632488086,0.0007440326570009451
0.77,0.044219670614731844,0.0199179553178226,0.9351283959058095,0.0007339781616360675
0.78,0.044219670614731844,0.019063323211808,0.9359830280118241,0.0007339781616360675
