,tar,trr,far,frr
0.0,0.002242152466367713,0.9550463512236321,0.0,0.0427114963100002
0.05,0.024271551810814616,0.9550463512236321,0.0,0.020682096965553298
0.1,0.039111986969374006,0.9550463512236321,0.0,0.005841661806993907
0.15000000000000002,0.0428019867682841,0.9550463512236321,0.0,0.0021516620080838144
0.2,0.0443302700637455,0.9550463512236321,0.0,0.0006233787126224135
0.25,0.04480283134589475,0.954895533793159,0.00015081743047316455,0.00015081743047316455
0.30000000000000004,0.04495364877636791,0.9520300026141688,0.003016348609463291,0.0
0.35000000000000003,0.04495364877636791,0.9426793219248326,0.012367029298799494,0.0
0.4,0.04495364877636791,0.9234249633010919,0.03162138792254017,0.0
0.45,0.04495364877636791,0.9002091335035894,0.05483721772004263,0.0
0.5,0.04495364877636791,0.8567938225180478,0.09825252870558426,0.0
0.55,0.04495364877636791,0.7723762794345351,0.18267007178909692,0.0
0.6000000000000001,0.04495364877636791,0.666230971867522,0.2888153793561101,0.0
0.65,0.04495364877636791,0.5389310060528062,0.4161153451708259,0.0
0.7000000000000001,0.04495364877636791,0.4050252367833658,0.5500211144402662,0.0
0.75,0.04495364877636791,0.26888736954292264,0.6861589816807094,0.0
0.8,0.04495364877636791,0.1612238331758129,0.7938225180478192,0.0
0.8500000000000001,0.04495364877636791,0.09386876872649762,0.8611775824971345,0.0
0.9,0.04495364877636791,0.0455468640028957,0.9094994872207364,0.0
0.9500000000000001,0.04495364877636791,0.018027710189225603,0.9370186410344065,0.0
1.0,0.04495364877636791,0.005992479237467071,0.949053871986165,0.0
